No,Kalimat,Pasien,Usia Pasien,Penyakit,Gejala,Kapan,Periode,Tindakan,Outcome,Pertanyaan,Pembuka,Penyebab,Prakondisi,Observasi,Objek,Penutup,Referensi,Artikel
185,"Namun, bisa saja anjuran ini berbeda, misalnya jika bayi Anda berkontak erat dengan penderita tuberkulosis lain di tempat tinggalnya, jika bayi Anda bermasalah sistem imunnya, dan sebagainya.",,,1,,,,,1,,,,1,,,,,
186,"Karenanya, lebih tepat Anda periksakan dulu saja bayi Anda ke dokter atau dokter anak terdekat agar diarahkan langkah terbaiknya ya..",,,1,,,,,1,1,,,1,,,,,
187,Semoga membantu.,,,,,,,,,,,,,,,1,,
188,"Halo dok, saya mau tanya bayi saya sudah berusia 6 bulan bolehkah di dudukan ?",1,1,,,,,,,1,1,,,,,,,
189,Dan bayi saya sudah berusaha menyeimbangkan badan nya ketika duduk Apakah akan bermasalah atau tidak?,,,,1,,,,,1,,,,,,,,
190,Terimakasih,,,,,,,,,,,,,,,1,,
191,"Alo, terima kasih sudah bertanya kepada alodokter.",,,,,,,,,,1,,,,,,,
192,Saya dr. Ainul,,,,,,,,,,,,,,,,,
193,Perkembangan dan pertumbuhan anak memiliki waktu yang berbeda beda akan tetapi tetap dalam batas wajarnya.,,,,,,,,,,,,1,,,,,
194,"Perkembangan motorik Pada bayi mengangkat kepada normalnya direntang waktu 3-6 bulan, pada duduk rentang waktu 6-9 bulan, berdiri dan berjalan 9-12 bulan ataupun lebih.",,,,,,,,,,,,,1,,,,
195,Perkembangan ini bisa terjadi lebih cepat ataupun lebih lama yang disesuaikan dengan kondisi bayi. ,,,,,,,,1,,,,1,,,,,
196,Jika masih dalam batas wajar maka tidak perlu khawatir. ,,,,,,,1,,,,,1,,,,,
197,"Pada bayi yang dirasakan sudah bisa mengangkat kepala, tengkurap sendiri, maka bisa dicoba duduk akan tetapi perlu kewaspadaan lebih. ",,,,1,,,1,,,,,1,,,,,
198,Jika didudukan sebelum waktunua tentu dapat menyebabkan masalah pada perkembangan tulang atau bahkan menyebabkan cidera. ,,,,,,,,1,,,1,,,,,,
199,"Tetap melakukan pengukuran secara rutin diposyandu atau fasilitas kesehatan terdekat, berikan ASi dan MPAsi, berikan imunisasi dasar lengkap semoga membantu",,,,,,,1,,,,,,,1,1,,
200,Selamat siang dok. ,,,,,,,,,,1,,,,,,,
201,Saya memiliki anak usia 1 bulan. ,1,1,,,,,,,,,,,,,,,
202,Waktu imunisasi kemarin usia 3 Minggu BB hanya naik 1 ons dan saat itu anak saya sedang pilek. ,,,1,1,1,,1,,,,,,,,,,
203,Sekarang setiap anak saya menyusu hanya sekitar 10 menit. ,,,,1,,,,,,,,,,,,,
204,Jika lebih dari itu selalu gumoh dok. ,,,,,,,,1,,,,1,,,,,
205,Fesesnya berwarna kuning kehijauan.,,,,1,,,,,,,,,,,,,
206,Anak sering tidur dan kadang juga aktif. ,,,,1,,,,,,,,,,,,,
207,Apa itu normal dok? ,,,,,,,,,1,,,,,,,,
208,Terima kasih sebelumnya untuk jawabannya.,,,,,,,,,,,,,,,1,,
209,"Alo, terimakasih atas pertanyaannya.",,,,,,,,,,1,,,,,,,
210,"Bayi usia 1 bulan yang menyusu hanya sebentar-sebentar, disertai gumoh, feses berwarna kuning kehijauan, terkadang lebih sering tertidur, dan berat badannya pun sulit naik bisa wajar disebabkan oleh pemulihan pasca sakit (misalnya jika bayi Anda baru sembuh dari pilek). ",,,,1,,,,1,,,1,,,,,,
211,"Namun, beragam keluhan ini bisa juga menandakan bayi Anda sedang terganggu pencernaannya, semisal karena gastroenteritis, hernia hiatus, achalasia, sumbing, alergi makanan, malabsorpsi atau intoleransi, radang usus, obstruksi usus, dan sebagainya. ",,,,,,,,,,,1,,,,,,
212,"Faktor lain, seperti efek samping pengobatan, gangguan hati, gangguan kantung atau saluran empedu, anemia, dehidrasi, gangguan keseimbangan elektrolit, gangguan jantung bawaan, dan sebagainya pun bisa juga turut memperberat kondisi bayi Anda.",,,,,,,,1,,,1,,,,,,
213,"Tentu, normal atau tidaknya kondisi bayi Anda tidak cukup ditentukan hanya lewat konsultasi online seperti ini. ",,,,,,,1,,,,,,,,,,
214,"Lebih baik, periksakanlah bayi Anda ke dokter atau dokter anak terdekat supaya dievaluasi dengan komprehensif penyebab keluhannya, misalnya lewat tes darah, tes feses, USG, dan sebagainya.",,,,,,,1,,,,,,,,,,
215,"Di rumah, Anda bisa lakukan dulu:",,,,,,,1,,,,,,,,,,
216,"•	Beri bayi Anda HANYA ASI hingga usianya genap 6 bulan, kecuali jika dianjurkan lain oleh dokter",,,,,,1,1,,,,,1,,,,,
217,•	Utamakan menyusui bayi langsung dari payudara,,,,,,,1,,,,,,,,,,
218,•	Pastikan Anda mencuci tangan dan membersihkan dulu payudara Anda sebelum disusukan ke bayi,,,,,,,1,,,,,,,,,,
219,"•	Perbaiki kualitas ASI Anda dengan menjalani pola makan dan gaya hidup sehat, rajin memerah ASI, dan tidak sembarangan minum obat",,,,,,,1,,,,,,,,,,
220,"•	Sehabis menyusu, sendawakan bayi dengan benar, jangan langsung ditidurkan",,,,,,,1,,,,,,,,,,
221,•	Jaga lingkungan sekitar bayi agar bersih dan jauh dari orang yang sakit menular,,,,,,,1,,,,,,,,,,
222,•	Biasakan bayi tidur dan bangun di jam yang teratur setiap hari,,,,,,,1,,,,,,,,,,
223,"•	Rutin kontrol tumbuh kembang bayi, dan beri ia imunisasi lengkap sesuai saran dokter",,,,,,,1,,,,,,,,,,
224,Semoga membantu ya..,,,,,,,,,,,,,,,1,,
225,"pagi dok, saya mau bertanya, saya punya bayi umur jalan 3 bulan.",1,1,,,,,,,,1,,,,,,,
226,"beberapa waktu dia sering tiba-tiba menangis kenceng banget saat tidur, kira-kira kenapa ya dok ?",,,,1,,,,,1,,,,,,,,
227,dan apa solusinya agar bayi saya tenang dan nyenyak saat tidur ?,,,,,,,,,1,,,,,,,,
228,trims,,,,,,,,,,,,,,,1,,
229,"Alo, terimakasih atas pertanyaannya.",,,,,,,,,,1,,,,,,,
230,"Mendadak menangis kencang saat tidur pada bayi usia 3 bulan biasanya wajar disebabkan oleh tidurnya yang masih sulit nyenyak sehingga mudah terganggu oleh hal di lingkungannya, semisal suara bising, cahaya silau, dan sebagainya. ",,,,1,,,,1,,,1,1,,,,,
231,"Keluhan ini mungkin juga terjadi karena mimpi buruk, kondisi lingkungan tidur yang kurang nyaman, lapar atau haus, juga kondisi medis tertentu, misalnya gangguan pencernaan (seperti keracunan, infeksi pencernaan, kolik, refluks asam lambung), infeksi virus atau bakteri, asma, tersedak benda asing, dan lain-lain.",,,,,,,,,,,1,,,,,,
232,"Pertanyaannya, seberapa sering kondisi tersebut bayi Anda alami?",,,,,,,,,1,,,,,,,,
233,"Apakah ia tampak kesakitan, sesak, atau muncul keluhan lain yang berat?",,,,,,,,,1,,,,,,,,
234,"Jika tidak muncul keluhan lain, baiknya Anda tidak panik dulu. ",,,,,,,1,,,,,1,,,,,
235,Coba bantu mengatasi keluhannya dengan:,,,,,,,1,,,,,,,,,,
236,"•	Buat jadwal tidur dan bangun bayi yang teratur setiap harinya, jangan tidurkan ia terlalu larut malam",,,,,,1,1,,,,,,,,,,
237,"•	Ciptakan kondisi ruangan tidur yang nyaman, jangan terlalu silau, bising, gerah, atau terlalu dingin",,,,,,,1,,,,,,,,,,
238,"•	Sebelum tidur, ganti popok bayi agar bersih dan kering, kenakan padanya pakaian yang nyaman dan longgar, susui ia secukupnya lalu sendawakan",,,,,1,,1,,,,,,,,,,
239,"•	Jika bayi terbangun dan menangis saat tidur, jangan panik, peluk ia, tepuk lembut bokongnya, usap halus punggungnya, susui ia, atau juga nyanyikan senandung yang membuatnya nyaman hingga tertidur kembali",,,,1,1,,1,1,,,,,,,,,
240,"Jika tidak ada penyakit tertentu yang mendasari, keluhan bayi Anda seringnya akan membaik sendiri dalam beberapa waktu. ",,,,,,,,1,,,,1,,,,,
241,"Sebaliknya, jika malah muncul keluhan lain yang lebih berat, sepatutnya Anda tidak menunda-nunda memeriksakannya ke dokter atau dokter anak terdekat ya..",,,,,,,1,,,,,1,,,,,
242,Semoga membantu.,,,,,,,,,,,,,,,1,,
243,"Dokter saya mau tanya, sekarang musing batuk pilek dan anak saya masi 5 bulan, vitamin apa yang bagus untuk daya tahan tubuh bayi saya ?",1,1,1,,,,,,1,,,1,,1,,,
244,Soalnya saya takut anak saya tertular .,,,,,,,,,,,1,,,,,,
245,Di Karena kan di rumah saya ada yang sakit jadi saya takut dok,,,,,,,,,,,1,,,,,,
246,"Alo, terimakasih atas pertanyaannya.",,,,,,,,,,1,,,,,,,
247,"Batuk dan pilek memang bisa terjadi terkait infeksi virus (termasuk virus Corona yang menyebabkan COVID-19) atau bakteri, sehingga mudah menular baik melalui kontak langsung (seperti saat berinteraksi dalam jarak dekat, berciuman) ataupun tidak langsung (seperti bertukaran peralatan makan dan minum, bersalaman). ",,,1,,,,1,1,,,1,,,,,,
248,Anak merupakan salah satu kelompok yang rentan tertular infeksi penyebab batuk dan pilek sebab daya tahan tubuhnya yang relatif masih lemah. ,,,1,,,,,,,,1,1,,,,,
249,"Nah, Anda bisa meminimalisasi risiko penularan penyakit ini dengan:",,,,,,,1,,,,,,,,,,
250,"•	Batasi membawa anak keluar rumah, hanya jika ada alasan yang mendesak saja",,,,,,,1,,,,,1,,,,,
251,"•	Jika pun harus membawa anak keluar, pastikan Anda memberinya face-shield dan jaga jarak dari orang lain agar tidak tertular penyakit, jangan berkerumun",,,,,,,1,1,,,,1,,,,,
252,"•	Pastikan lingkungan di sekitar anak selalu bersih, jauhi dari debu, asap, polusi, udara kering, dan iritan saluran napas lainnya",,,,,,,1,,,,,,,,,,
253,•	Jauhkan juga anak Anda dari hal-hal yang membuatnya alergi,,,,,,,1,,,,,,,,,,
254,"•	Jauhkan anak dari orang yang sedang batuk, pilek, bersin, demam, nyeri tenggorokan, dan mengalami gejala sakit menular lainnya",,,,,,,1,,,,,,,,,,
255,•        Perbaiki imunitasnya dengan menyusuinya ASI sering-sering dan membiarkannya tidur cukup,,,,,,,1,,,,,,,,,,
256,"•	Mandikan anak pagi dan sore hari, sering-sering cuci tangannya, jangan biarkan ia dicium, dipegang, atau digendong sembarang orang",,,,,,1,1,,,,,,,,,,
257,"Tanpa saran dokter, anak usia kurang dari 1 tahun sebaiknya tidak dulu sembarangan diberikan suplemen, termasuk untuk meningkatkan daya tahan tubuhnya. ",,,,,,,1,,,,,1,,,,,
258,"Jika merasa anak Anda butuh suplemen, baiknya Anda periksakan dulu ia ke dokter atau dokter anak terdekat ya..",,,,,,,1,,,,,,,,,,
259,Semoga membantu.,,,,,,,,,,,,,,,1,,
260,Pagi dok saya mau tanya. ,,,,,,,,,,1,,,,,,,
261,Anak saya pernah punya riwayat epilepsi. ,1,,1,,,,,,,,,1,,,,,
262,Dan skrang sudah 6bln gk kejang dok.,,1,,1,,,,,,,,,,,,,
263,Terus katanya boleh ganti sufor biasa. ,,,,,,,1,,,,,,,,,,
264,"Kira"" merk sufor yg apa ya dok yg disarankan tpi harga terjangkau?",,,,,,,,,1,,,,,,,,
265,"Alo, Terima kasih atas pertanyaannya.",,,,,,,,,,1,,,,,,,
266,"Pemberian susu formula tidak bisa sembarang dilakukan, terutama apabila anak memiliki kondisi medis tertentu. ",,,,,,,1,,,,,1,,,,,
267,"Pada anak yang memiliki riwayat epilepsi di mana tumbuh kembangnya dapat mengalami gangguan, pada umumnya susu formula yang dibutuhkan perlu bersifat khusus dan mengandung kalori dan mineral ekstra untuk memenuhi kebtuhan nutrisinya.",,,,,,,,1,,,1,,,1,,,
268,"Meskipun semua susu formula memiliki nutrisi utama yang sama seperti protein, karbohidrat, lemak, vitamin, dan mineral, namun jenis protein yang digunakan relatif berbeda.",,,,,,,,,,,,1,,1,,,
269,"Jenis protein ini dapat berupawhey, casein, dan kombinasi keduanya. ",,,,,,,,,,,,,,1,,,
270,Pilih susu formula yang berasal dari susu sapi dan memiliki proteinwheykarena protein tersebut lebih gampang dicerna.,,,,,,,1,1,,,,1,,,,,
271,"Kami tidak dapat memberikan merk susu formula dan harganya secara pasti, sebagaimana banyak tersedia susu formula dengan jenis dan merk yang berbeda yang dapat memenuhi kebutuhan Si Kecil dengan manfaat yang sama. ",,,,,,,1,,,,,1,,1,,,
272,"Apabila Anda masih ragu, sebaiknya konsultasikan hal ini ke dokter spesialis anak yang merawat anak Anda, ya.",,,,,,,1,,,,,1,,,,,
273,Semoga informasi ini dapat membantu.,,,,,,,,,,,,,,,1,,
274,Salam.,,,,,,,,,,,,,,,1,,
275,"Baby saya usia 6bulan , tapi sering keringat dingin berlebih apalagi di telapak tangan dan kaki, apa benar itu ciri2 mengidap penyakit bronkitis?",1,1,1,1,,,,,1,,,,,,,,
276,"Alo, terimakasih atas pertanyaannya.",,,,,,,,,,1,,,,,,,
277,"Bronkhitis (radang saluran napas bagian bawah yang menuju paru, bisa karena infeksi serta terpapar asap rokok atau asap kimia lainnya) memang bisa membuat metabolisme tubuh meningkat sehingga meningkatkan juga produksi keringatnya. ",,,1,,,,,1,,,1,,,,,,
278,"Sebab itulah, banyak orang keliru selalu mengaitkan produksi keringat berlebih dengan bronkhitis. ",,,,,,,1,,,,,,,,,,
279,"Padahal, hal ini sesungguhnya tidak selalu tepat.",,,,,,,,1,,,,,,,,,
280,"Peningkatan produksi keringat pada bayi bisa juga wajar terjadi karena kondisi lingkungan yang panas, mengenakan pakaian yang ketat atau berbahan panas, habis makan dan minum, atau juga sedang menjalani pengobatan tertentu. ",,,,1,,,,,,,1,,,,,,
281,"Bisa jadi juga, berkeringat berlebih pada bayi terjadi karena beragam pencetus lain, misalnya:",,,,1,,,,,,,1,,,,,,
282,"•	Infeksi, termasuk COVID-19 (yang terjadi karena infeksi virus Corona baru), tuberkulosis, pneumonia, dan infeksi beragam mikroorganisme lainnya",,,,,,,,,,,1,,,,,,
283,"•	Hipertiroidisme (hiperaktifitas kelenjar tiroid), bisa karena kelainan autoimun, peradangan, tumor jinak atau ganas, efek samping pengobatan",,,,,,,,,,,1,,,,,,
284,•	Penyakit jantung bawaan atau gangguan jantung lainnya,,,,,,,,,,,1,,,,,,
285,"•	Faktor lain, seperti rheumatoid arthritis, lupus, dispepsia, gangguan hormon, efek samping obat, hipoglikemia, gangguan syaraf, dan sebagainya",,,,,,,,,,,1,,,,,,
286,"Jika ingin memastikan apakah kondisi bayi Anda masih wajar atau tidak, silakan Anda periksakan ia ke dokter atau dokter anak terdekat.",,,,,,,1,,,,,,,,,,
287,"Tes darah, rontgen, tes swab, atau tes penunjang lain bisa jadi akan dokter lakukan supaya bisa memberi bayi Anda penanganan terbaik.",,,,,,,1,1,,,,,,,,,
288,"Sebagai ibu, Anda janganlah dulu panik. ",,,,,,,1,,,,,,,,,,
289,"Pastikan Anda memberikan bayi Anda cukup ASI, kenalkan ia secara bertahap dengan MPASI yang bergizi seimbang, jaga lingkungan sekitar bayi agar bersih dan baik sirkulasi udaranya, mandikan bayi agar tubuhnya juga bersih, kenakan untuknya pakaian yang longgar dan menyerap keringat, jauhkan bayi dari orang lain yang sakit menular, dan jangan dulu sembarangan memberi bayi Anda obat tanpa arahan dari dokter.",,,,,,,1,1,,,,1,,1,,,
290,Semoga membantu ya..,,,,,,,,,,,,,,,1,,
1,"dok bayi saya umur 1 bulan setiap stlh mnum susu asi, setiap 10 menit setelahnya pasti dia muntah. ",1,1,,,1,,,,,,,,,,,,
2,muntahnya itu kuning dok.,,,,1,,,,,,,,,,,,,
3,padahal setiap selesai menyusui itu pasti saya sendawakan.,,,,,,,1,,,,,,,,,,
4,bayi saya kenapa ya dok?,,,,,,,,,1,,,,,,,,
5,"Alo, terimakasih atas pertanyaannya.",,,,,,,,,,1,,,,,,,
6,Muntah pada bayi memang bisa wajar disebabkan oleh gumoh. ,,,,1,,,,,,,1,,,,,,
7,"Gumoh ini bisa muncul akibat bayi yang tidak disendawakan sehabis menyusu, aliran ASI yang terlalu deras, atau juga karena kebiasaan bayi menyusu sambil terburu-buru, menangis, dan bergerak berlebihan. ",,,,,,,,1,,,,1,,,,,
8,"Gumoh khasnya akan menyebabkan muntahan yang keluar hanya sedikit, terjadi segera (beberapa detik hingga beberapa menit) setelah menyusu, dan warna muntahannya pun putih sebab hanya mengandung ASI yang baru diminum. ",,,,,1,1,,1,,,,1,,,,,
9,"Akan tetapi, jika muntah terjadi sangat sering dan warnanya kekuningan, tentu Anda perlu juga mewaspadai kemungkinan lain, misalnya infeksi pencernaan, malabsorpsi karbohidrat, alergi makanan, keracunan, gangguan hati, gangguan kantung atau saluran empedu, infeksi saluran kemih, tumor otak, dan sebagainya. ",,,1,1,,,,,,,,,,,,,
10,Anda sebaiknya periksakan langsung bayi Anda ke dokter atau dokter anak terdekat ya.. ,,,,,,,1,,,,,,,,,,
11,"Selain diberi obat, jika perlu, bayi Anda akan juga diarahkan untuk menjalani tes darah, USG, tes urin, atau tes penunjang yang lain. ",,,,,,,1,,,,,,,,,,
12,"Agar keluhannya membaik, langkah berikut bisa Anda terapkan dulu:",,,,,,,,1,,,,,,,,,
13,Beri bayi Anda HANYA ASI hingga usainya genap 6 bulan,,,,,,1,1,,,,,,,,,,
14," Tawarkan bayi menyusu setiap 1-3 jam sekali, jangan menunggu ia terlalu lapar agar menyusunya tidak terburu-buru dan tidak juga sambil menangis",,,,,,1,1,1,,,,1,,,,,
15,"Sendawakan bayi minimal 5 menit setiap habis menyusu, jangan langsung ditidurkan",,,,,1,1,1,,,,,,,,,,
16, Selalu bersihkan puting payudara Anda dan rongga mulut bayi setiap sebelum menyusu,,,,,1,,1,,,,,,,,,,
17,Jaga juga kebersihan tubuh bayi dan area sekitarnya,,,,,,,1,,,,,,,,,,
18," Tidak dulu memberi bayi makanan dan minuman tambahan, serta sembarang obat kecuali atas saran dokter ",,,,,,,1,,,,,,,,,,
19,Semoga membantu ya..,,,,,,,,,,,,,,,1,,
20,"Dok bayi saya saat ini berumur 5 bulan, bayi saya masih full ASI dok. ",1,1,,,,,,,,,,1,,,,,
21,"2 hari yg lalu bayi saya muntah"" dok",,,,1,1,,,,,,,,,,,,
22,muntahnya di pagi hari pas bangun tidur.,,,,1,1,,,,,,,,,,,,
23, muntah yg bayi saya alami itu kaya cairan berlendir dan warnanya kuning.,,,,1,,,,,,,,,,,,,
24,"bayi saya nampak lemas sekali dok, akhirnya saya tambahkan beri air putih untuk bayi saya.",,,,1,,,1,,,,,,,,,,
25,Kemarin intensitas muntahnya nambah jadi siang dan sore juga.,,,,1,,1,,,,,,,,,,,
26,Penyebabnya apa ya dok?,,,,,,,,,1,,,,,,,,
27,apakah berbahaya buat bayi saya? ,,,,,,,,,1,,,,,,,,
28,"Alo, terimakasih atas pertanyaannya. ",,,,,,,,,,1,,,,,,,
29,"Muntah-muntah pada bayi yang masih mendapatkan ASI eksklusif kemungkinan penyebabnya ada banyak, contohnya: ",,,,1,,,,,,,,1,,,,,
30,"Kebiasaan menyusu terburu-buru, sambil menangis, atau bergerak-gerak berlebihan ",,,,,,,,,,,1,,,,,,
31,Alergi atau malabsorpsi makanan,,,,,,,,,,,1,,,,,,
32,Gastroenteritis (infeksi pencernaan) ,,,,,,,,,,,,1,,,,,
33," Faktor lain, seperti refluks asam lambung, gangguan hati, infeksi saluran kemih atau infeksi sistem organ lain, tumor otak, dan sebagainya ",,,1,,,,,,,,,,,,,,
34,"Tidak disarankan memberi bayi usia kurang dari 6 bulan makanan dan minuman lain kecuali ASI, termasuk juga air putih",,,,,,,1,,,,,,,1,,,
35,"Sebab, hal ini berisiko membuat pencernaan bayi Anda semakin terganggu, dan berimbas pada muntahnya yang semakin parah. ",,,,,,,,1,,,,,,,,,
36,"Dengan kondisi bayi Anda yang tampak lemas, sebaiknya Anda waspada.",,,,1,,,,,,,,,,,,,
37,Periksakan SEGERA ia ke dokter atau dokter anak terdekat agar mendapat penanganan lebih lanjut. ,,,,,,,1,1,,,,,,,,,
38,"Khawatirnya, bayi Anda sudah mengalami dehidrasi atau komplikasi lain akibat muntah yang dialami.",,,,,,,,1,,,1,,,,,,
39,"Pemeriksaan darah, urin, atau USG bisa juga dokter lakukan bila dirasa perlu nantinya. ",,,,,,,1,,,,,,,,,,
40,"Sembari itu, sebaiknya Anda tetap tenang. ",,,,,,,1,,,,,,,,,,
41,"Susui bayi Anda ASI sering-sering, bersihkan payudara Anda dan rongga mulut bayi Anda setiap sebelum menyusui, konsumsi makanan dan minuman sehat selagi Anda menyusui, serta tidak sembarangan memberi bayi obat atau herba tanpa arahan dari dokter.",,,,,1,,1,,,,,,,,,,
42,Semoga membantu ya..,,,,,,,,,,,,,,,1,,
43,"Hallo dok, pipi anak saya kering gitu dok, dan kulitnya jadi mengelupas.",,,,1,,,,,,,1,,,,,,
44,anak saya umurnya 7 bulan dok..,,1,,,,,,,,,,,,,,,
45,terus abis itu kaya ninggalin bekas putih gitu.. ,,,,1,,,,,,,,,,,,,
46,"kira"" knapa ya dok apa karena cuaca yng sedang dingin jadi kulit jadi kering tapi kenapa berbekas ya dok dan gimana cara menghilangkan bekasnya.. ",,,,,,,,,1,,,,,,,,
47,Ditunggu jawaban nya ya dok.. ,,,,,,,,,,,,,,,1,,
48,Terima kasih atas pertanyaannya. ,,,,,,,,,,1,,,,,,,
49,Kulit kering dan mengelupas merupakan suatu kondisi yang dapat terjadi baik pada bayi maupun dewasa.,,,,1,,,,,,,,1,,,,,
50,"Kondisi ini dapat terjadi karena beberapa hal seperti karena udara yang panas atau misalnya terlalu lama menggunakan AC menjadikan kulit kering, penggunaan sabun yang tidak cocok dengan kondisi kulit bayi, mengalami masalah pada kulit bayi misalnya akibat dermatitis atopik, kebiasaan mandi dengan air hangat yang lama, dan sebagainya",,,,,,,,,,,1,,,,,,
51,"Kulit yang kering pada bayi dapat ditandai dengan kulit yang kering, disertai dengan bersisik, dapat menjadi tekstur kasar, mengelupas, tampak kemerahan, lecet, hingga adanya ruam pada bagian tubuh tertentu.",,,,1,,,,,,,,,,,,,
52,"Kulit kering tersebut dapat menyebabkan rasa tidak nyaman pada bayi misalnya menyebabkan nyeri, gatal, dan sebagainya. ",,,,,,,,1,,,,,,,,,
53,Untuk menggatasi kulit bayi yang mengelupassebaiknya ibu dapat: ,,,,,,,,1,,,,,,,,,
54, memandikan tidak terlalu lama,,,,,,1,1,,,,,,,,,,
55,tidak memandikan dengan air yang terlalu panas ,,,,,,,1,,,,,,,1,,,
56,menjaga kelembapan ruangan,,,,,,,1,,,,,,,,,,
57, saat memandikan menggunakan sabunkhusus,,,,,,,1,,,,,,,1,,,
58, mengoleskan pelembap yang berbahan hipoalergenik ,,,,,,,1,,,,,,,1,,,
59,menggunakan produk perawatan kulit yang tidak mengandung parfum atau pewangi,,,,,,,1,,,,,,,,,,
60,menghindari paparan udara terlalu dingin,,,,,,,1,,,,,,,,,,
61, mencukupii kebutuhan cairan ,,,,,,,1,,,,,,,,,,
62,Serta sebaiknya bila keluhan tidak juga membaik dapat memeriksakan kondisinya secara langsung pada dokter anak. ,,,,,,,1,,,,,1,,,,,
63,"Terima kasih, semoga membantu.",,,,,,,,,,,,,,,1,,
64,"Dok saya seorang ibu dari bayi umur 9 bulan, saat ini bayi saya kena muntaber dok sampe dia keliatan kuyu banget, bisa tolong kasi resep obat yg bisa saya berikan gak dok ke anak saya? ",1,1,,1,,,,1,1,,,,,,,,
65,makasih sebelumnya dok ,,,,,,,,,,,,,,,1,,
66,"Alo, selamat sore bunda ",,,,,,,,,,1,,,,,,,
67,muntaber pada bayi kondisi ini dapat disebabkan oleh beberapa hal penyebab seperti :,,,1,,,,,,,,,,,,,,
68,"infeksi saluran pencernaan seperti virus, bakteri, maupun parasit",,,,,,,,,,,1,,,,,,
69,keracunan makanan ,,,,,,,,,,,1,,,,,,
70,alergi makanan atau susu ,,,,,,,,,,,1,,,,,,
71, intoleransi laktosa ,,,,,,,,,,,1,,,,,,
72,"untuk penangannya harus sesuai penyebab yang mendasari bunda, keluhan muntah dan mencret dapat menyebabkan anak banyak kehilangan cairan yang dapat jatuh ke kondisi dehdirasi maka sangat diperlukan penambahan cairan pada anak,",,,,,,,1,1,,,,1,,,,,
73,bisa dengan pemberian ASI lebih sering dan konsumsi oralit setiap ia muntah dan mencret bunda bisa berikan setengah gelas bisa gunakan sendok atau botol susu dalam pemberiannya. ,,,,,,,1,,,,,,,1,,,
74,lalu bunda bisa berikan zink sulphate sirup 20 mg sehari sekali selama 10 hari walau diare sudah berhenti. ,,,,,,1,,,,,,1,,1,,,
75,"berikan ia makanan seperti nasi lembek atau bubur, sup serta pisang juga baik diberikan.",,,,,,,,,,,,,,1,,,
76,"jika sudah melakukan hal diatas namun tidak ada perbaikan dalam 2 hari atau anak tampak lemas, mata cekung, tidak mau minum, buang air kecil sedikit sebaiknya saran saya untuk bunda bawa anak ke UGD terdekat untuk mendapatkan penangnan segara.",,,,,,1,1,1,,,,1,,,,,
77,semoga dapat membantu ,,,,,,,,,,,,,,,1,,
78,"Dok,saya mau tanya. ",,,,,,,,,,1,,,,,,,
79,Apakah bayi 3 bulan boleh diksih vitamin buat nambah berat badan ?,1,1,,,,,,,1,,,,,1,,,
80,soalnya berat bayi saya cuma 4kg dok,,,,,,,,,,,,1,,,,,
81,"Alo, selamat siang bunda",,,,,,,,,,1,,,,,,,
82,"berat badan bayi usia 3 bulan berjenis kelami perempuan ialah sekitar 3,8-5,5 kg dengan panjang badan 52-56 cm dan lingkar kepala 37- 42 cm",,,,,,,,,,,,1,1,,,,
83,sedangkan berat badan bayi laki-laki ialah 4-6 kg dengan panjang badan 53-58 cm dan lingkar kepala 38- 43 cm.,,,,,,,,,,,,1,1,,,,
84,jadi umumnya masih termasuk dalam batas normal dengan usia 3 buln berat badan bayi anda 4 kg ya bunda. ,,,,,,,,1,,,,1,,,,,
85,untuk mengetahui status gizi si anak normal atau tidak akan dilakukan pengkuran dengan KMS bunda bisa membawa anak ke posyandu untuk mendapatkan pengukuran berat badan sehingga mengetahui kurva KMS nya normal atau tidak tapi sesuai saya jelaskan jika usia 3 bulan berat badan 4 kg masih terbilang dalam batas normal. ,,,,,,,1,1,,,,,1,,,,
86,"untuk penambahan berat badan tidak bisa dengan konsumsi vitamin ya bunda, vitamin hanya bermanfaat membantu memenuhi asupan vitamin yang kurang di dalam tubuh. ",,,,,,,,1,,,1,,,1,,,
87,untuk usia 3 bulan sebaiknya bunda berikan ASI yang lebih sering jika memang anda indikasi berat badan lahir rendah atau prematur umumnya dokter merekomendasikan sebelumnya susu khusus prematur dan penambah berat badan jika memang ada indikasi. ,,,,,,,1,,,,,1,,,,,
88,semoga dapat membantu ,,,,,,,,,,,,,,,1,,
89,"Dok saya mau tanya, berapakah kadar bilirubin normal pada bayi berusia 7 hari?",1,1,,,,,,,1,,,,1,,,,
90,"Apakah 11,8 itu termasuk tinggi? ",,,,,,,,,1,,,,1,,,,
91,mohon penjelasannya dok.,,,,,,,,,,,,,,,,,
92,terima kasih,,,,,,,,,,,,,,,1,,
93,"Alo, terima kasih atas pertanyaannya untuk Alodokter. ",,,,,,,,,,1,,,,,,,
94,"Kadar bilirubin normal pada bayi berusia 7 hari seharusnya di bawah 12 mg/dL pada bayi cukup bulan, dan di bawah 10 mg/dL pada bayi prematur.",,,,,,,,,,,,1,1,,,,
95,"Pada bayi yang baru lahir normalnya memang bisa mengalami kuning atau peningkatan bilirubin yang disebut dengan ikterum neonatorum fisiologis, dimana normalnya terjadi setelah 24 jam pertama kelahiran, memuncak pada harike 4-5 pada bayi cukup bulan dan memuncak pada hari ke 7 pada bayi prematur, hingga nantinya akan hilang dalam 2 minggu.",,,,,1,1,,,,,,1,1,,,,
